Address,Allocation
0x3274E7E388BbB0CC0F4529c477334340f03Edfdc,166666
0xc146FE7C0A7a45EF42AC1cB6a52f9D1571F3bBf3,2500000
0x12FcBfdFD326275BB5BbB5Ba8c1d70235B574336,2500000
0x1573f8860223D1398F1f9dB0e4c2508D2d0Bfd8F,2500000
0x19AB86aae25b8011dDdf7817790e21C23140b749,1000000
0xe9E903f1ca716FB5e315b1729C0D06c0CE5f357A,2500000
0x0e7aDc892769F0b199566475fA246B85CD60d9d5,2000000
0x80F0AAAF849D822526E80518B7D6FAC570638e49,600000
0x9df3D71477049240Bc1314Faf5831Df368F46dB8,1000000
0x66886B3A3DC2b44cb69B18a6b5aF3A989290BDbF,1000000
0x00A17D77B37B70516D12B43064f3998b2a3dacDe,1000000
0x2a2E938eC0b8E2bD534795dE09AE722b78f46a3e,1000000
0x85B2b25BCb79A4945c1d7ad5e773f4af5b7167c3,1000000
0x9C6d4c10df976205DE101f8039184B2a8191f0a7,1000000
0xcD8AF1d912DbCb6feeFC86c0c81B82FD3F428200,1000000
0xFB53E6234a895CA92397B3CB4728B83e2CE5e225,500000
0x32ff30da868c9504853313097b652316c1fb422d,2000000
0x2f1dDff495400b93E31B24DA6b59C9bE24Da1a2f,5000000
0xB2A5B7FD847F01F28e4a56074a5dCC57De16A4dc,4500000
0xacfd4A57533fA98F253Acaa0a6B5FF222bAaa7FA,1500000
0x1F31959Dee51359EA01D3269ACfD480f1746eC53,5000000
0xb49e385178A8111473Aa6ecAb216033E8E211ebB,5000000
0xbcd69Ce8027b930c7712290F4f0c1e8864382123,166666